from,to,phase_from,phase_to
EnergyControl.SetDuration,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,WaveformViewer.Zoom,Phase D,Phase D
WaveformViewer.Zoom,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,WaveformViewer.Zoom,Phase D,Phase D
WaveformViewer.Zoom,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,WaveformViewer.Zoom,Phase D,Phase D
WaveformViewer.Zoom,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,OutcomeTracker.FlagAnomaly,Phase D,Phase D
OutcomeTracker.FlagAnomaly,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,WaveformViewer.SelectChannel,Phase D,Phase D
WaveformViewer.SelectChannel,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,OutcomeTracker.FlagAnomaly,Phase D,Phase D
OutcomeTracker.FlagAnomaly,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,OutcomeTracker.FlagAnomaly,Phase D,Phase D
OutcomeTracker.FlagAnomaly,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,WaveformViewer.SelectChannel,Phase D,Phase D
WaveformViewer.SelectChannel,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,ContactSensor.CheckForce,Phase D,Phase D
ContactSensor.CheckForce,WaveformViewer.Zoom,Phase D,Phase D
WaveformViewer.Zoom,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,OutcomeTracker.FlagAnomaly,Phase D,Phase D
OutcomeTracker.FlagAnomaly,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,ContactSensor.CheckForce,Phase D,Phase D
ContactSensor.CheckForce,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,ContactSensor.CheckForce,Phase D,Phase D
ContactSensor.CheckForce,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,OutcomeTracker.FlagAnomaly,Phase D,Phase D
OutcomeTracker.FlagAnomaly,ContactSensor.CheckForce,Phase D,Phase D
ContactSensor.CheckForce,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,WaveformViewer.Zoom,Phase D,Phase D
WaveformViewer.Zoom,WaveformViewer.Zoom,Phase D,Phase D
WaveformViewer.Zoom,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,ValidationPanel.RunCheck,Phase D,Phase E
ValidationPanel.RunCheck,OutcomeTracker.Summary,Phase E,Phase E
OutcomeTracker.Summary,LesionMap.FinalReview,Phase E,Phase E
LesionMap.FinalReview,ValidationPanel.ReviewResult,Phase E,Phase E
ValidationPanel.ReviewResult,WaveformViewer.FinalCapture,Phase E,Phase E
WaveformViewer.FinalCapture,LesionMap.FinalReview,Phase E,Phase E
LesionMap.FinalReview,LesionMap.ConfirmComplete,Phase E,Phase E
LesionMap.ConfirmComplete,OutcomeTracker.ExportData,Phase E,Phase E
OutcomeTracker.ExportData,WaveformViewer.FinalCapture,Phase E,Phase E
WaveformViewer.FinalCapture,OutcomeTracker.Summary,Phase E,Phase E
OutcomeTracker.Summary,ValidationPanel.ReviewResult,Phase E,Phase E
ValidationPanel.ReviewResult,OutcomeTracker.ExportData,Phase E,Phase E
OutcomeTracker.ExportData,OutcomeTracker.ExportData,Phase E,Phase E
OutcomeTracker.ExportData,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,LesionMap.FinalReview,Phase E,Phase E
LesionMap.FinalReview,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,OutcomeTracker.Summary,Phase E,Phase E
OutcomeTracker.Summary,LesionMap.FinalReview,Phase E,Phase E
LesionMap.FinalReview,ValidationPanel.ReviewResult,Phase E,Phase E
ValidationPanel.ReviewResult,OutcomeTracker.Summary,Phase E,Phase E
OutcomeTracker.Summary,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,ValidationPanel.ReviewResult,Phase E,Phase E
ValidationPanel.ReviewResult,LesionMap.FinalReview,Phase E,Phase E
LesionMap.FinalReview,LesionMap.FinalReview,Phase E,Phase E
LesionMap.FinalReview,LesionMap.FinalReview,Phase E,Phase E
LesionMap.FinalReview,OutcomeTracker.Summary,Phase E,Phase E
OutcomeTracker.Summary,ValidationPanel.ReviewResult,Phase E,Phase E
ValidationPanel.ReviewResult,PatientRecord.Close,Phase E,Phase F
PatientRecord.Close,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,PatientRecord.Save,Phase F,Phase F
PatientRecord.Save,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,PatientRecord.Save,Phase F,Phase F
PatientRecord.Save,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,PatientRecord.Close,Phase F,Phase F
PatientRecord.Close,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,PatientRecord.Save,Phase F,Phase F
PatientRecord.Save,ReportGenerator.Export,Phase F,Phase F
ReportGenerator.Export,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,ReportGenerator.Preview,Phase F,Phase F
ReportGenerator.Preview,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,PatientRecord.Close,Phase F,Phase F
PatientRecord.Close,PatientRecord.Save,Phase F,Phase F
PatientRecord.Save,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,ReportGenerator.Export,Phase F,Phase F
ReportGenerator.Export,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,ReportGenerator.Preview,Phase F,Phase F
ReportGenerator.Preview,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,PatientRecord.Close,Phase F,Phase F
PatientRecord.Close,ReportGenerator.Export,Phase F,Phase F
ReportGenerator.Export,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,SystemCheck.Shutdown,Phase F,Phase F
SystemCheck.Shutdown,ReportGenerator.Preview,Phase F,Phase F
ReportGenerator.Preview,ReportGenerator.Preview,Phase F,Phase F
ReportGenerator.Preview,PatientRecord.Close,Phase F,Phase F
PatientRecord.Close,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,SystemCheck.Shutdown,Phase F,Phase F
SystemCheck.Shutdown,PatientRecord.Close,Phase F,Phase F
PatientRecord.Close,ReportGenerator.Preview,Phase F,Phase F
ReportGenerator.Preview,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,PatientRecord.Close,Phase F,Phase F
PatientRecord.Close,ReportGenerator.Preview,Phase F,Phase F
ReportGenerator.Preview,ReportGenerator.Preview,Phase F,Phase F
ReportGenerator.Preview,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,PatientRecord.Save,Phase F,Phase F
PatientRecord.Save,PatientRecord.Close,Phase F,Phase F
ProcedureSetup.SelectProtocol,CatheterConfig.SelectType,Phase A,Phase A
CatheterConfig.SelectType,PatientDemographics.Confirm,Phase A,Phase A
PatientDemographics.Confirm,PatientDemographics.Confirm,Phase A,Phase A
PatientDemographics.Confirm,PatientDemographics.Confirm,Phase A,Phase A
PatientDemographics.Confirm,ProcedureSetup.ConfirmProtocol,Phase A,Phase A
ProcedureSetup.ConfirmProtocol,PatientDemographics.Load,Phase A,Phase A
PatientDemographics.Load,PatientDemographics.Load,Phase A,Phase A
PatientDemographics.Load,SystemCheck.RunDiagnostics,Phase A,Phase A
SystemCheck.RunDiagnostics,SystemCheck.RunDiagnostics,Phase A,Phase A
SystemCheck.RunDiagnostics,PatientDemographics.Load,Phase A,Phase A
PatientDemographics.Load,CatheterConfig.Confirm,Phase A,Phase A
CatheterConfig.Confirm,ProcedureSetup.ConfirmProtocol,Phase A,Phase A
ProcedureSetup.ConfirmProtocol,ProcedureSetup.ConfirmProtocol,Phase A,Phase A
ProcedureSetup.ConfirmProtocol,PatientDemographics.Confirm,Phase A,Phase A
PatientDemographics.Confirm,CatheterConfig.SelectType,Phase A,Phase A
CatheterConfig.SelectType,PatientDemographics.Confirm,Phase A,Phase A
PatientDemographics.Confirm,ProcedureSetup.ConfirmProtocol,Phase A,Phase A
ProcedureSetup.ConfirmProtocol,ImagingPanel.Zoom,Phase A,Phase B
ImagingPanel.Zoom,ImagingPanel.Pan,Phase B,Phase B
ImagingPanel.Pan,AnatomyMap.MarkPoint,Phase B,Phase B
AnatomyMap.MarkPoint,ImagingPanel.ToggleOverlay,Phase B,Phase B
ImagingPanel.ToggleOverlay,Navigation.ForwardStep,Phase B,Phase B
Navigation.ForwardStep,AnatomyMap.MarkPoint,Phase B,Phase B
AnatomyMap.MarkPoint,ImagingPanel.ToggleOverlay,Phase B,Phase B
ImagingPanel.ToggleOverlay,ImagingPanel.Contrast,Phase B,Phase B
ImagingPanel.Contrast,SegmentationTool.Draw,Phase B,Phase B
SegmentationTool.Draw,ImagingPanel.Rotate,Phase B,Phase B
ImagingPanel.Rotate,ImagingPanel.Pan,Phase B,Phase B
ImagingPanel.Pan,ImagingPanel.ToggleOverlay,Phase B,Phase B
ImagingPanel.ToggleOverlay,ImagingPanel.Rotate,Phase B,Phase B
ImagingPanel.Rotate,ImagingPanel.Rotate,Phase B,Phase B
ImagingPanel.Rotate,ImagingPanel.Rotate,Phase B,Phase B
ImagingPanel.Rotate,ImagingPanel.Rotate,Phase B,Phase B
ImagingPanel.Rotate,Navigation.BackStep,Phase B,Phase B
Navigation.BackStep,SegmentationTool.Draw,Phase B,Phase B
SegmentationTool.Draw,SegmentationTool.Erase,Phase B,Phase B
SegmentationTool.Erase,AnatomyMap.SelectRegion,Phase B,Phase B
AnatomyMap.SelectRegion,ImagingPanel.Pan,Phase B,Phase B
ImagingPanel.Pan,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,ImagingPanel.Contrast,Phase B,Phase B
ImagingPanel.Contrast,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,ImagingPanel.Contrast,Phase B,Phase B
ImagingPanel.Contrast,ImagingPanel.Contrast,Phase B,Phase B
ImagingPanel.Contrast,ImagingPanel.Contrast,Phase B,Phase B
ImagingPanel.Contrast,ImagingPanel.Contrast,Phase B,Phase B
ImagingPanel.Contrast,AnatomyMap.SelectRegion,Phase B,Phase B
AnatomyMap.SelectRegion,ImagingPanel.Contrast,Phase B,Phase B
ImagingPanel.Contrast,Navigation.ForwardStep,Phase B,Phase B
Navigation.ForwardStep,ImagingPanel.Pan,Phase B,Phase B
ImagingPanel.Pan,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,AnatomyMap.MarkPoint,Phase B,Phase B
AnatomyMap.MarkPoint,AnatomyMap.SelectRegion,Phase B,Phase B
AnatomyMap.SelectRegion,AnatomyMap.SelectRegion,Phase B,Phase B
AnatomyMap.SelectRegion,ImagingPanel.ToggleOverlay,Phase B,Phase B
ImagingPanel.ToggleOverlay,ImagingPanel.Rotate,Phase B,Phase B
ImagingPanel.Rotate,ImagingPanel.Pan,Phase B,Phase B
ImagingPanel.Pan,AnatomyMap.SelectRegion,Phase B,Phase B
AnatomyMap.SelectRegion,ImagingPanel.ToggleOverlay,Phase B,Phase B
ImagingPanel.ToggleOverlay,ImagingPanel.ToggleOverlay,Phase B,Phase B
ImagingPanel.ToggleOverlay,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,AnatomyMap.SelectRegion,Phase B,Phase B
AnatomyMap.SelectRegion,ImagingPanel.Pan,Phase B,Phase B
ImagingPanel.Pan,SegmentationTool.Draw,Phase B,Phase B
SegmentationTool.Draw,ImagingPanel.Pan,Phase B,Phase B
ImagingPanel.Pan,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,ImagingPanel.Rotate,Phase B,Phase B
ImagingPanel.Rotate,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,ImagingPanel.Pan,Phase B,Phase B
ImagingPanel.Pan,ImagingPanel.Rotate,Phase B,Phase B
ImagingPanel.Rotate,ImagingPanel.Rotate,Phase B,Phase B
ImagingPanel.Rotate,AnatomyMap.ClearMark,Phase B,Phase B
AnatomyMap.ClearMark,AnatomyMap.MarkPoint,Phase B,Phase B
AnatomyMap.MarkPoint,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,ImagingPanel.ToggleOverlay,Phase B,Phase B
ImagingPanel.ToggleOverlay,AnatomyMap.MarkPoint,Phase B,Phase B
AnatomyMap.MarkPoint,WaveformViewer.Resume,Phase B,Phase C
WaveformViewer.Resume,EnergyControl.DeliverEnergy,Phase C,Phase C
EnergyControl.DeliverEnergy,EnergyControl.DeliverEnergy,Phase C,Phase C
EnergyControl.DeliverEnergy,ContactSensor.Confirm,Phase C,Phase C
ContactSensor.Confirm,EnergyControl.Abort,Phase C,Phase C
EnergyControl.Abort,EnergyControl.Abort,Phase C,Phase C
EnergyControl.Abort,EnergyControl.Abort,Phase C,Phase C
EnergyControl.Abort,EnergyControl.SetDuration,Phase C,Phase C
EnergyControl.SetDuration,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,WaveformViewer.Pause,Phase C,Phase C
WaveformViewer.Pause,EnergyControl.SetPower,Phase C,Phase C
EnergyControl.SetPower,EnergyControl.SetDuration,Phase C,Phase C
EnergyControl.SetDuration,LesionMap.MarkLesion,Phase C,Phase C
LesionMap.MarkLesion,EnergyControl.DeliverEnergy,Phase C,Phase C
EnergyControl.DeliverEnergy,EnergyControl.Abort,Phase C,Phase C
EnergyControl.Abort,LesionMap.MarkLesion,Phase C,Phase C
LesionMap.MarkLesion,EnergyControl.SetPower,Phase C,Phase C
EnergyControl.SetPower,LesionMap.MarkLesion,Phase C,Phase C
LesionMap.MarkLesion,WaveformViewer.Resume,Phase C,Phase C
WaveformViewer.Resume,ContactSensor.Confirm,Phase C,Phase C
ContactSensor.Confirm,ContactSensor.Confirm,Phase C,Phase C
ContactSensor.Confirm,EnergyControl.SetDuration,Phase C,Phase C
EnergyControl.SetDuration,ContactSensor.Confirm,Phase C,Phase C
ContactSensor.Confirm,LesionMap.ReviewLesion,Phase C,Phase C
LesionMap.ReviewLesion,EnergyControl.DeliverEnergy,Phase C,Phase C
EnergyControl.DeliverEnergy,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,EnergyControl.Abort,Phase C,Phase C
EnergyControl.Abort,EnergyControl.Abort,Phase C,Phase C
EnergyControl.Abort,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,LesionMap.MarkLesion,Phase C,Phase C
LesionMap.MarkLesion,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,EnergyControl.SetDuration,Phase C,Phase C
EnergyControl.SetDuration,EnergyControl.SetDuration,Phase C,Phase C
EnergyControl.SetDuration,EnergyControl.Abort,Phase C,Phase C
EnergyControl.Abort,EnergyControl.SetDuration,Phase C,Phase C
EnergyControl.SetDuration,EnergyControl.Abort,Phase C,Phase C
EnergyControl.Abort,EnergyControl.SetDuration,Phase C,Phase C
EnergyControl.SetDuration,EnergyControl.SetDuration,Phase C,Phase C
EnergyControl.SetDuration,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,ContactSensor.Confirm,Phase C,Phase C
ContactSensor.Confirm,EnergyControl.Abort,Phase C,Phase C
EnergyControl.Abort,EnergyControl.SetPower,Phase C,Phase C
EnergyControl.SetPower,EnergyControl.SetPower,Phase C,Phase C
EnergyControl.SetPower,LesionMap.MarkLesion,Phase C,Phase C
LesionMap.MarkLesion,LesionMap.MarkLesion,Phase C,Phase C
LesionMap.MarkLesion,WaveformViewer.Zoom,Phase C,Phase D
WaveformViewer.Zoom,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,OutcomeTracker.FlagAnomaly,Phase D,Phase D
OutcomeTracker.FlagAnomaly,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,WaveformViewer.Zoom,Phase D,Phase D
WaveformViewer.Zoom,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,WaveformViewer.Zoom,Phase D,Phase D
WaveformViewer.Zoom,OutcomeTracker.FlagAnomaly,Phase D,Phase D
OutcomeTracker.FlagAnomaly,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,ContactSensor.CheckForce,Phase D,Phase D
ContactSensor.CheckForce,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,WaveformViewer.SelectChannel,Phase D,Phase D
WaveformViewer.SelectChannel,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,WaveformViewer.Zoom,Phase D,Phase D
WaveformViewer.Zoom,ContactSensor.CheckForce,Phase D,Phase D
ContactSensor.CheckForce,WaveformViewer.Zoom,Phase D,Phase D
WaveformViewer.Zoom,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,OutcomeTracker.FlagAnomaly,Phase D,Phase D
OutcomeTracker.FlagAnomaly,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,OutcomeTracker.FlagAnomaly,Phase D,Phase D
OutcomeTracker.FlagAnomaly,OutcomeTracker.FlagAnomaly,Phase D,Phase D
OutcomeTracker.FlagAnomaly,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,OutcomeTracker.FlagAnomaly,Phase D,Phase D
OutcomeTracker.FlagAnomaly,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,ContactSensor.CheckForce,Phase D,Phase D
ContactSensor.CheckForce,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,ContactSensor.CheckForce,Phase D,Phase D
ContactSensor.CheckForce,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,WaveformViewer.Zoom,Phase D,Phase D
WaveformViewer.Zoom,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,WaveformViewer.Zoom,Phase D,Phase D
WaveformViewer.Zoom,WaveformViewer.Zoom,Phase D,Phase D
WaveformViewer.Zoom,WaveformViewer.Zoom,Phase D,Phase D
WaveformViewer.Zoom,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,WaveformViewer.Zoom,Phase D,Phase D
WaveformViewer.Zoom,OutcomeTracker.FlagAnomaly,Phase D,Phase D
OutcomeTracker.FlagAnomaly,ContactSensor.CheckForce,Phase D,Phase D
ContactSensor.CheckForce,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,EnergyControl.DeliverEnergy,Phase D,Phase D
